id,input,ner_tags,pred
5779,will,O,O
5780,perform,O,O
5781,on,O,O
5782,validation,O,O
5783,set,O,O
5784,.,O,O
5785,On,O,O
5786,the,O,O
5787,other,O,O
5788,hand,O,O
5789,",",O,O
5790,meta,O,B-TaskName
5791,distillation,O,I-TaskName
5792,(,O,O
5793,Zhou,O,O
5794,et,O,O
5795,al,O,O
5796,.,O,O
5797,",",O,O
5798,2022,O,O
5799,;,O,O
5800,Pham,O,O
5801,et,O,O
5802,al,O,O
5803,.,O,O
5804,",",O,O
5805,2021,O,O
5806,),O,O
5807,takes,O,O
5808,the,O,O
5809,generalization,O,O
5810,ability,O,O
5811,of,O,O
5812,student,O,O
5813,on,O,O
5814,the,O,O
5815,held,O,O
5816,-,O,O
5817,out,O,O
5818,validation,O,O
5819,set,O,O
5820,into,O,O
5821,account,O,O
5822,",",O,O
5823,and,O,O
5824,guides,O,O
5825,the,O,O
5826,teacher,O,O
5827,’s,O,O
5828,learning,O,O
5829,process,O,O
5830,to,O,O
5831,maximize,O,O
5832,the,O,O
5833,generalization,O,O
5834,ability,O,O
5835,.,O,O
5836,However,O,O
5837,",",O,O
5838,the,O,O
5839,optimization,O,O
5840,objective,O,O
5841,of,O,O
5842,meta,O,O
5843,distillation,O,O
5844,may,O,O
5845,result,O,O
5846,in,O,O
5847,a,O,O
5848,degraded,O,O
5849,teacher,O,O
5850,model,O,O
5851,",",O,O
5852,as,O,O
5853,it,O,O
5854,only,O,O
5855,receives,O,O
5856,supervision,O,O
5857,from,O,O
5858,the,O,O
5859,student,O,O
5860,model,O,O
5861,.,O,O
5862,It,O,O
5863,is,O,O
5864,well,O,O
5865,-,O,O
5866,known,O,O
5867,that,O,O
5868,humans,O,O
5869,are,O,O
5870,more,O,O
5871,efficient1990learners,O,O
5872,when,O,O
5873,their,O,O
5874,teachers,O,O
5875,provide,O,O
5876,guidance,O,O
5877,on,O,O
5878,the,O,O
5879,level,O,O
5880,of,O,O
5881,attention,O,O
5882,they,O,O
5883,should,O,O
5884,devote,O,O
5885,to,O,O
5886,certain,O,O
5887,problems,O,O
5888,based,O,O
5889,on,O,O
5890,their,O,O
5891,current,O,O
5892,knowledge,O,O
5893,.,O,O
5894,Similarly,O,O
5895,",",O,O
5896,it,O,O
5897,is,O,O
5898,possible,O,O
5899,that,O,O
5900,a,O,O
5901,student,O,O
5902,model,O,O
5903,could,O,O
5904,be,O,O
5905,trained,O,O
5906,more,O,O
5907,effectively,O,O
5908,if,O,O
5909,it,O,O
5910,receives,O,O
5911,such,O,O
5912,guidance,O,O
5913,from,O,O
5914,a,O,O
5915,teacher,O,O
5916,.,O,O
5917,To,O,O
5918,accomplish,O,O
5919,this,O,O
5920,goal,O,O
5921,",",O,O
5922,the,O,O
5923,teacher,O,O
5924,should,O,O
5925,prioritize,O,O
5926,samples,O,O
5927,that,O,O
5928,are,O,O
5929,likely,O,O
5930,to,O,O
5931,enhance,O,O
5932,the,O,O
5933,student,O,O
5934,’s,O,O
5935,generalization,O,O
5936,ability,O,O
5937,during,O,O
5938,training,O,O
5939,",",O,O
5940,thus,O,O
5941,allowing,O,O
5942,the,O,O
5943,student,O,O
5944,to,O,O
5945,perform,O,O
5946,better,O,O
5947,on,O,O
5948,the,O,O
5949,held,O,O
5950,-,O,O
5951,out,O,O
5952,validation,O,O
5953,set,O,O
5954,.,O,O
5955,In,O,O
5956,this,O,O
5957,work,O,O
5958,",",O,O
5959,inspired,O,O
5960,by,O,O
5961,the,O,O
5962,concept,O,O
5963,of,O,O
5964,influence,O,O
5965,function,O,O
5966,(,O,O
5967,Pruthi,O,O
5968,et,O,O
5969,al,O,O
5970,.,O,O
5971,",",O,O
5972,2020,O,O
5973,;,O,O
5974,Koh,O,O
5975,and,O,O
5976,Liang,O,O
5977,",",O,O
5978,2017,O,O
5979,),O,O
5980,",",O,O
5981,we,O,O
5982,propose,O,O
5983,distillation,O,O
5984,influence,O,O
5985,to,O,O
5986,estimate,O,O
5987,how,O,O
5988,distilling,O,O
5989,on,O,O
5990,each,O,O
5991,training,O,O
5992,sample,O,O
5993,impacts,O,O
5994,the,O,O
5995,student,O,O
5996,’s,O,O
5997,performance,O,O
5998,on,O,O
5999,the,O,O
6000,validation,O,O
6001,set,O,O
6002,.,O,O
6003,In,O,O
6004,addition,O,O
6005,",",O,O
6006,we,O,O
6007,are,O,O
6008,able,O,O
6009,to,O,O
6010,interpret,O,O
6011,existing,O,O
6012,L2,O,B-TaskName
6013,T,O,I-TaskName
6014,methods,O,O
6015,from,O,O
6016,the,O,O
6017,perspective,O,O
6018,of,O,O
6019,influence,O,O
6020,function,O,O
6021,",",O,O
6022,so,O,O
6023,as,O,O
6024,to,O,O
6025,gain,O,O
6026,a,O,O
6027,deeper,O,O
6028,understanding,O,O
6029,of,O,O
6030,their,O,O
6031,limitations,O,O
6032,.,O,O
6033,The,O,O
6034,optimization,O,O
6035,process,O,O
6036,of,O,O
6037,existing,O,O
6038,L2,O,B-TaskName
6039,T,O,I-TaskName
6040,methods,O,O
6041,are,O,O
6042,often,O,O
6043,impacted,O,O
6044,by,O,O
6045,outliers,O,O
6046,",",O,O
6047,because,O,O
6048,they,O,O
6049,assign,O,O
6050,all,O,O
6051,training,O,O
6052,samples,O,O
6053,in,O,O
6054,the,O,O
6055,mini,O,O
6056,-,O,O
6057,batch,O,O
6058,the,O,O
6059,same,O,O
6060,weight,O,O
6061,.,O,O
6062,Hence,O,O
6063,",",O,O
6064,we,O,O
6065,propose,O,O
6066,our,O,O
6067,L2,O,B-TaskName
6068,T,O,I-TaskName
6069,framework,O,O
6070,",",O,O
6071,Learning,B-MethodName,B-MethodName
6072,GoodTeacher,I-MethodName,I-MethodName
6073,Matters,I-MethodName,I-MethodName
6074,(,O,O
6075,LGTM,B-MethodName,B-MethodName
6076,),O,O
6077,",",O,O
6078,which,O,O
6079,assigns,O,O
6080,loss,O,O
6081,weights,O,O
6082,of,O,O
6083,the,O,O
6084,training,O,O
6085,samples,O,O
6086,based,O,O
6087,on,O,O
6088,their,O,O
6089,distillation,O,O
6090,influence,O,O
6091,.,O,O
6092,Extensive,O,O
6093,experiments,O,O
6094,have,O,O
6095,shown,O,O
6096,that,O,O
6097,LGTM,B-MethodName,B-MethodName
6098,enables,O,O
6099,more,O,O
6100,effective,O,O
6101,knowledge,O,O
6102,transfer,O,O
6103,.,O,O
6104,In,O,O
6105,summary,O,O
6106,",",O,O
6107,our,O,O
6108,contributions,O,O
6109,are,O,O
6110,as,O,O
6111,follows,O,O
6112,:,O,O
6113,1.We,O,O
6114,propose,O,O
6115,distillation,O,O
6116,influence,O,O
6117,to,O,O
6118,quantify,O,O
6119,how,O,O
6120,distilling,O,O
6121,from,O,O
6122,each,O,O
6123,training,O,O
6124,sample,O,O
6125,impacts,O,O
6126,the,O,O
6127,student,O,O
6128,’s,O,O
6129,generalization,O,O
6130,ability,O,O
6131,.,O,O
6132,2.We,O,O
6133,introduce,O,O
6134,finite,O,O
6135,difference,O,O
6136,approximation,O,O
6137,to,O,O
6138,efficiently,O,O
6139,incorporate,O,O
6140,distillation,O,O
6141,influence,O,O
6142,into,O,O
6143,the,O,O
6144,teacher,O,O
6145,’s,O,O
6146,learning,O,O
6147,process,O,O
6148,.,O,O
6149,3.Comparing,O,O
6150,to,O,O
6151,10,O,B-HyperparameterValue
6152,common,O,O
6153,KD,O,B-HyperparameterName
6154,baselines,O,O
6155,",",O,O
6156,our,O,O
6157,proposed,O,O
6158,LGTM,B-MethodName,B-MethodName
6159,demonstrates,O,O
6160,consistently,O,O
6161,better,O,O
6162,performance,O,O
6163,on,O,O
6164,6,O,O
6165,text,B-TaskName,B-TaskName
6166,classification,I-TaskName,I-TaskName
6167,tasks,O,O
6168,in,O,O
6169,GLUE,B-DatasetName,B-DatasetName
6170,benchmark,O,O
6171,.,O,O
6172,2,O,O
6173,Notations,O,O
6174,Suppose,O,O
6175,we,O,O
6176,have,O,O
6177,a,O,O
6178,teacher,O,O
6179,model,O,O
6180,denoted,O,O
6181,as,O,O
6182,T,O,O
6183,(,O,O
6184,·,O,B-HyperparameterName
6185,;,O,O
6186,θ,O,B-HyperparameterName
6187,),O,O
6188,and,O,O
6189,a,O,O
6190,student,O,O
6191,model,O,O
6192,denoted,O,O
6193,as,O,O
6194,S,O,O
6195,(,O,O
6196,·,O,B-HyperparameterName
6197,;,O,O
6198,θ,O,B-HyperparameterName
6199,),O,O
6200,.,O,O
6201,The,O,O
6202,corresponding,O,O
6203,model,O,O
6204,parameters,O,O
6205,are,O,O
6206,θandθ,O,B-HyperparameterName
6207,.,O,O
6208,ηandηare,O,B-HyperparameterName
6209,the,O,O
6210,learning,O,B-HyperparameterName
6211,rates,O,I-HyperparameterName
6212,adopted,O,O
6213,for,O,O
6214,model,O,O
6215,update,O,O
6216,.,O,O
6217,We,O,O
6218,use,O,O
6219,|t|and|s|to,O,O
6220,denote,O,O
6221,the,O,O
6222,dimensions,O,O
6223,ofθandθ,O,O
6224,",",O,O
6225,i.e.,O,O
6226,",",O,O
6227,θ∈Randθ∈R.,O,B-HyperparameterName
6228,The,O,O
6229,time,O,O
6230,step,O,O
6231,before,O,O
6232,and,O,O
6233,after,O,O
6234,model,O,O
6235,parameter,O,O
6236,updates,O,O
6237,are,O,O
6238,denoted,O,O
6239,as,O,O
6240,mandm+,O,B-HyperparameterName
6241,1,O,O
6242,",",O,O
6243,respectively,O,O
6244,.,O,O
6245,It,O,O
6246,is,O,O
6247,used,O,O
6248,to,O,O
6249,track,O,O
6250,the,O,O
6251,evolution,O,O
6252,of,O,O
6253,the,O,O
6254,model,O,O
6255,parameters,O,O
6256,during,O,O
6257,the,O,O
6258,training,O,O
6259,process,O,O
6260,.,O,O
6261,Given,O,O
6262,a,O,O
6263,labeled,O,O
6264,training,O,O
6265,dataset,O,O
6266,D,O,O
6267,",",O,O
6268,a,O,O
6269,batch,O,O
6270,ofBtraining,O,O
6271,samples,O,O
6272,and,O,O
6273,their,O,O
6274,corresponding,O,O
6275,labels,O,O
6276,are,O,O
6277,referred,O,O
6278,to,O,O
6279,as,O,O
6280,z=,O,B-HyperparameterName
6281,(,O,O
6282,x,O,O
6283,",",O,O
6284,y,O,O
6285,),O,O
6286,",",O,O
6287,where,O,O
6288,r,O,B-HyperparameterName
6289,indicates,O,O
6290,training,O,O
6291,.,O,O
6292,We,O,O
6293,index,O,O
6294,each,O,O
6295,sample,O,O
6296,in,O,O
6297,the,O,O
6298,training,O,O
6299,batch,O,O
6300,zasz,O,O
6301,.,O,O
6302,Similarly,O,O
6303,for,O,O
6304,validation,O,O
6305,dataset,O,O
6306,D,O,O
6307,",",O,O
6308,we,O,O
6309,define,O,O
6310,the,O,O
6311,batch,O,O
6312,of,O,O
6313,samples,O,O
6314,as,O,O
6315,z=,O,O
6316,(,O,O
6317,x,O,O
6318,",",O,O
6319,y,O,O
6320,),O,O
6321,",",O,O
6322,where,O,O
6323,eindicates,O,O
6324,validation,O,O
6325,.,O,O
6326,In,O,O
6327,addition,O,O
6328,",",O,O
6329,we,O,O
6330,introduce,O,O
6331,the,O,O
6332,notation,O,O
6333,of,O,O
6334,the,O,O
6335,Jacobian,O,O
6336,matrix,O,O
6337,in,O,O
6338,the,O,O
6339,context,O,O
6340,of,O,O
6341,working,O,O
6342,with,O,O
6343,the,O,O
6344,chain,O,O
6345,rule,O,O
6346,and,O,O
6347,gradient,O,O
6348,.,O,O
6349,In,O,O
6350,particular,O,O
6351,",",O,O
6352,let,O,O
6353,f,O,O
6354,:,O,O
6355,R→Rbe,O,O
6356,a,O,O
6357,differentiable,O,O
6358,function,O,O
6359,",",O,O
6360,and,O,O
6361,let,O,O
6362,v∈,O,O
6363,Rbe,O,O
6364,a,O,O
6365,vector,O,O
6366,.,O,O
6367,We,O,O
6368,use,O,O
6369,the,O,O
6370,notation∈R,O,O
6371,to,O,O
6372,represent,O,O
6373,the,O,O
6374,Jacobian,O,O
6375,matrix,O,O
6376,of,O,O
6377,f,O,O
6378,",",O,O
6379,which,O,O
6380,has,O,O
6381,dimensions,O,O
6382,k×n,O,O
6383,.,O,O
6384,For,O,O
6385,simplicity,O,O
6386,",",O,O
6387,we,O,O
6388,annotate,O,O
6389,as∇.,O,O
6390,We,O,O
6391,use,O,O
6392,Xto,O,O
6393,denote,O,O
6394,the,O,O
6395,transpose,O,O
6396,of,O,O
6397,the,O,O
6398,matrix,O,O
6399,X.,O,O
6400,3,O,O
6401,Revisiting,O,O
6402,Learning,O,O
6403,to,O,O
6404,Teach,O,O
6405,In,O,O
6406,this,O,O
6407,paper,O,O
6408,",",O,O
6409,we,O,O
6410,focus,O,O
6411,on,O,O
6412,task,O,O
6413,-,O,B-TaskName
6414,specific,O,I-TaskName
6415,distillation,O,B-TaskName
6416,given,O,O
6417,pre,O,O
6418,-,O,O
6419,trained,O,O
6420,language,O,O
6421,models,O,O
6422,.,O,O
6423,Under,O,O
6424,this,O,O
6425,setting,O,O
6426,",",O,O
6427,the,O,O
6428,teacher,O,O
6429,model,O,O
6430,is,O,O
6431,already,O,O
6432,pre,O,O
6433,-,O,O
6434,trained,O,O
6435,in,O,O
6436,an,O,O
6437,unsupervised,O,O
6438,manner,O,O
6439,and,O,O
6440,the,O,O
6441,student,O,O
6442,model,O,O
6443,is,O,O
6444,either,O,O
6445,derived,O,O
6446,from,O,O
6447,part,O,O
6448,of,O,O
6449,the,O,O
6450,teacher,O,O
6451,model,O,O
6452,or,O,O
6453,pre,O,O
6454,-,O,O
6455,trained,O,O
6456,in,O,O
6457,an,O,O
6458,unsupervised,O,O
6459,manner,O,O
6460,as,O,O
6461,well,O,O
6462,.,O,O
6463,Vanilla,O,O
6464,distillation,O,B-TaskName
6465,The,O,O
6466,typical,O,O
6467,approach,O,O
6468,to,O,O
6469,knowledge,O,B-TaskName
6470,distillation,O,I-TaskName
6471,is,O,O
6472,a,O,O
6473,two,O,O
6474,-,O,O
6475,stage,O,O
6476,process,O,O
6477,.,O,O
6478,It,O,O
6479,involves,O,O
6480,first,O,O
6481,fine,O,O
6482,-,O,O
6483,tuning,O,O
6484,a,O,O
6485,pre,O,O
6486,-,O,O
6487,trained,O,O
6488,teacher,O,O
6489,model1991to,O,O
6490,maximize,O,O
6491,its,O,O
6492,performance,O,O
6493,on,O,O
6494,a,O,O
6495,specific,O,O
6496,task,O,O
6497,.,O,O
6498,Once,O,O
6499,the,O,O
6500,teacher,O,O
6501,model,O,O
6502,has,O,O
6503,converged,O,O
6504,",",O,O
6505,a,O,O
6506,student,O,O
6507,model,O,O
6508,is,O,O
6509,trained,O,O
6510,to,O,O
6511,closely,O,O
6512,imitate,O,O
6513,the,O,O
6514,output,O,O
6515,of,O,O
6516,the,O,O
6517,teacher,O,O
6518,model,O,O
6519,on,O,O
6520,the,O,O
6521,training,O,O
6522,data,O,O
6523,.,O,O
6524,The,O,O
6525,optimization,O,O
6526,objective,O,O
6527,for,O,O
6528,the,O,O
6529,student,O,O
6530,model,O,O
6531,at,O,O
6532,each,O,O
6533,mini,O,O
6534,-,O,O
6535,batch,O,O
6536,is,O,O
6537,:,O,O
6538,L,O,O
6539,(,O,O
6540,θ,O,O
6541,",",O,O
6542,θ,O,O
6543,",",O,O
6544,z,O,O
6545,),O,O
6546,=,O,O
6547,αL,O,O
6548,(,O,O
6549,y,O,O
6550,",",O,O
6551,S,O,O
6552,(,O,O
6553,x,O,O
6554,;,O,O
6555,θ,O,O
6556,),O,O
6557,),O,O
6558,+,O,O
6559,(,O,O
6560,1−α,O,B-HyperparameterName
6561,),O,O
6562,L,O,O
6563,(,O,O
6564,T,O,O
6565,(,O,O
6566,x,O,O
6567,;,O,O
6568,θ,O,O
6569,),O,O
6570,",",O,O
6571,S,O,O
6572,(,O,O
6573,x,O,O
6574,;,O,O
6575,θ,O,O
6576,),O,O
6577,),O,O
6578,.,O,O
6579,(,O,O
6580,1,O,O
6581,),O,O
6582,The,O,O
6583,update,O,O
6584,of,O,O
6585,the,O,O
6586,student,O,O
6587,follows,O,O
6588,:,O,O
6589,θ,O,B-HyperparameterName
6590,=,O,O
6591,θ−η∇L,O,O
6592,(,O,O
6593,θ,O,B-HyperparameterName
6594,",",O,O
6595,θ,O,B-HyperparameterName
6596,",",O,O
6597,z,O,B-HyperparameterName
6598,),O,O
6599,.,O,O
6600,(,O,O
6601,2,O,O
6602,),O,O
6603,The,O,O
6604,limitation,O,O
6605,of,O,O
6606,vanilla,O,O
6607,distillation,O,O
6608,is,O,O
6609,that,O,O
6610,it,O,O
6611,does,O,O
6612,not,O,O
6613,allow,O,O
6614,teacher,O,O
6615,to,O,O
6616,adjust,O,O
6617,its,O,O
6618,behavior,O,O
6619,according,O,O
6620,to,O,O
6621,student,O,O
6622,’s,O,O
6623,feedback,O,O
6624,",",O,O
6625,as,O,O
6626,the,O,O
6627,teacher,O,O
6628,’s,O,O
6629,parameters,O,O
6630,are,O,O
6631,fixed,O,O
6632,during,O,O
6633,the,O,O
6634,distillation,O,O
6635,process,O,O
6636,.,O,O
6637,Online,O,O
6638,distillation,O,O
6639,To,O,O
6640,achieve,O,O
6641,student,O,B-TaskName
6642,-,O,I-TaskName
6643,aware,O,I-TaskName
6644,distillation,O,I-TaskName
6645,",",O,O
6646,online,O,B-TaskName
6647,distillation,O,I-TaskName
6648,(,O,O
6649,Zhang,O,O
6650,et,O,O
6651,al,O,O
6652,.,O,O
6653,",",O,O
6654,2018,O,O
6655,;,O,O
6656,Zhu,O,O
6657,et,O,O
6658,al,O,O
6659,.,O,O
6660,",",O,O
6661,2018,O,O
6662,;,O,O
6663,Shi,O,O
6664,et,O,O
6665,al,O,O
6666,.,O,O
6667,",",O,O
6668,2020,O,O
6669,),O,O
6670,is,O,O
6671,proposed,O,O
6672,which,O,O
6673,involves,O,O
6674,the,O,O
6675,simultaneous,O,O
6676,fine,O,O
6677,-,O,O
6678,tuning,O,O
6679,of,O,O
6680,both,O,O
6681,the,O,O
6682,student,O,O
6683,and,O,O
6684,teacher,O,O
6685,models,O,O
6686,in,O,O
6687,one,O,O
6688,-,O,O
6689,stage,O,O
6690,.,O,O
6691,In,O,O
6692,addition,O,O
6693,to,O,O
6694,minimizing,O,O
6695,the,O,O
6696,cross,O,O
6697,-,O,O
6698,entropy,O,O
6699,loss,O,O
6700,with,O,O
6701,respect,O,O
6702,to,O,O
6703,the,O,O
6704,ground,O,O
6705,truth,O,O
6706,labels,O,O
6707,",",O,O
6708,the,O,O
6709,target,O,O
6710,distribution,O,O
6711,of,O,O
6712,the,O,O
6713,teacher,O,O
6714,model,O,O
6715,is,O,O
6716,constrained,O,O
6717,to,O,O
6718,be,O,O
6719,close,O,O
6720,to,O,O
6721,that,O,O
6722,of,O,O
6723,the,O,O
6724,student,O,O
6725,model,O,O
6726,through,O,O
6727,the,O,O
6728,minimization,O,O
6729,of,O,O
6730,the,O,O
6731,cross,O,O
6732,-,O,O
6733,entropy,O,O
6734,loss,O,O
6735,between,O,O
6736,the,O,O
6737,outputs,O,O
6738,of,O,O
6739,the,O,O
6740,teacher,O,O
6741,and,O,O
6742,student,O,O
6743,models,O,O
6744,:,O,O
6745,L,O,O
6746,(,O,O
6747,θ,O,B-HyperparameterName
6748,",",O,O
6749,θ,O,B-HyperparameterName
6750,",",O,O
6751,z,O,O
6752,),O,O
6753,=,O,O
6754,αL,O,B-HyperparameterName
6755,(,O,O
6756,y,O,O
6757,",",O,O
6758,T,O,O
6759,(,O,O
6760,x,O,O
6761,;,O,O
6762,θ,O,O
6763,),O,O
6764,),O,O
6765,+,O,O
6766,(,O,O
6767,1−α,O,O
6768,),O,O
6769,L,O,O
6770,(,O,O
6771,T,O,O
6772,(,O,O
6773,x,O,O
6774,;,O,O
6775,θ,O,O
6776,),O,O
6777,",",O,O
6778,S,O,O
6779,(,O,O
6780,x,O,O
6781,;,O,O
6782,θ,O,O
6783,),O,O
6784,),O,O
6785,.,O,O
6786,(,O,O
6787,3,O,O
6788,),O,O
6789,The,O,O
6790,training,O,O
6791,process,O,O
6792,involves,O,O
6793,iteratively,O,O
6794,updating,O,O
6795,the,O,O
6796,parameters,O,O
6797,of,O,O
6798,both,O,O
6799,models,O,O
6800,:,O,O
6801,θ,O,B-HyperparameterName
6802,=,O,O
6803,θ−η∇L,O,B-HyperparameterName
6804,(,O,O
6805,θ,O,B-HyperparameterName
6806,",",O,O
6807,θ,O,B-HyperparameterName
6808,",",O,O
6809,z,O,O
6810,),O,O
6811,θ,O,B-HyperparameterName
6812,=,O,O
6813,θ−η∇L,O,B-HyperparameterName
6814,(,O,O
6815,θ,O,O
6816,",",O,O
6817,θ,O,B-HyperparameterName
6818,",",O,O
6819,z,O,B-HyperparameterName
6820,),O,O
6821,.,O,O
6822,(,O,O
6823,4,O,O
6824,),O,O
6825,Through,O,O
6826,iterative,O,O
6827,update,O,O
6828,",",O,O
6829,the,O,O
6830,student,O,O
6831,model,O,O
6832,is,O,O
6833,able,O,O
6834,to,O,O
6835,learn,O,O
6836,from,O,O
6837,the,O,O
6838,learning,O,O
6839,curve,O,O
6840,of,O,O
6841,the,O,O
6842,teacher,O,O
6843,model,O,O
6844,(,O,O
6845,Shi,O,O
6846,et,O,O
6847,al,O,O
6848,.,O,O
6849,",",O,O
6850,2020,O,O
6851,),O,O
6852,",",O,O
6853,which,O,O
6854,improves,O,O
6855,its,O,O
6856,performance,O,O
6857,on,O,O
6858,the,O,O
6859,given,O,O
6860,task,O,O
6861,.,O,O
6862,However,O,O
6863,",",O,O
6864,online,O,B-TaskName
6865,distillation,O,I-TaskName
6866,focuses,O,O
6867,on,O,O
6868,transferring,O,O
6869,the,O,O
6870,knowledge,O,O
6871,of,O,O
6872,the,O,O
6873,teacher,O,O
6874,to,O,O
6875,the,O,O
6876,student,O,O
6877,on,O,O
6878,training,O,O
6879,set,O,O
6880,without,O,O
6881,explicitly,O,O
6882,considering,O,O
6883,how,O,O
6884,well,O,O
6885,the,O,O
6886,student,O,O
6887,model,O,O
6888,will,O,O
6889,perform,O,O
6890,on,O,O
6891,unseen,O,O
6892,test,O,O
6893,data,O,O
6894,.,O,O
6895,This,O,O
6896,might,O,O
6897,lead,O,O
6898,to,O,O
6899,the,O,O
6900,student,O,O
6901,model,O,O
6902,only,O,O
6903,memorizing,O,O
6904,the,O,O
6905,training,O,O
6906,examples,O,O
6907,without,O,O
6908,generalizing,O,O
6909,well,O,O
6910,to,O,O
6911,new,O,O
6912,ones,O,O
6913,(,O,O
6914,Zhou,O,O
6915,et,O,O
6916,al,O,O
6917,.,O,O
6918,",",O,O
6919,2022,O,O
6920,),O,O
6921,.Meta,O,O
6922,distillation,O,O
6923,Meta,O,B-TaskName
6924,distillation,O,I-TaskName
6925,(,O,O
6926,Zhou,O,O
6927,et,O,O
6928,al,O,O
6929,.,O,O
6930,",",O,O
6931,2022,O,O
6932,;,O,O
6933,Pham,O,O
6934,et,O,O
6935,al,O,O
6936,.,O,O
6937,",",O,O
6938,2021,O,O
6939,),O,O
6940,is,O,O
6941,a,O,O
6942,technique,O,O
6943,that,O,O
6944,takes,O,O
6945,into,O,O
6946,account,O,O
6947,the,O,O
6948,feedback,O,O
6949,from,O,O
6950,the,O,O
6951,student,O,O
6952,model,O,O
6953,and,O,O
6954,guides,O,O
6955,the,O,O
6956,optimization,O,O
6957,of,O,O
6958,the,O,O
6959,teacher,O,O
6960,model,O,O
6961,to,O,O
6962,maximize,O,O
6963,the,O,O
6964,generalization,O,O
6965,ability,O,O
6966,of,O,O
6967,the,O,O
6968,student,O,O
6969,.,O,O
6970,The,O,O
6971,generalization,O,O
6972,error,O,O
6973,of,O,O
6974,the,O,O
6975,student,O,O
6976,model,O,O
6977,is,O,O
6978,measured,O,O
6979,by,O,O
6980,the,O,O
6981,cross,O,O
6982,-,O,O
6983,entropy,O,O
6984,loss,O,O
6985,computed,O,O
6986,between,O,O
6987,the,O,O
6988,ground,O,O
6989,truth,O,O
6990,labels,O,O
6991,and,O,O
6992,the,O,O
6993,predictions,O,O
6994,of,O,O
6995,the,O,O
6996,student,O,O
6997,model,O,O
6998,on,O,O
6999,the,O,O
7000,validation,O,O
7001,set,O,O
7002,:,O,O
7003,L,O,O
7004,(,O,O
7005,θ,O,O
7006,",",O,O
7007,z,O,O
7008,),O,O
7009,=,O,O
7010,L,O,O
7011,(,O,O
7012,y,O,O
7013,",",O,O
7014,S,O,O
7015,(,O,O
7016,x,O,O
7017,",",O,O
7018,θ,O,O
7019,),O,O
7020,),O,O
7021,.,O,O
7022,(,O,O
7023,5,O,O
7024,),O,O
7025,Meta,O,B-TaskName
7026,distillation,O,I-TaskName
7027,decomposes,O,O
7028,models,O,O
7029,’,O,O
7030,learning,O,O
7031,process,O,O
7032,into,O,O
7033,two,O,O
7034,stages,O,O
7035,.,O,O
7036,The,O,O
7037,first,O,O
7038,stage,O,O
7039,is,O,O
7040,to,O,O
7041,finetune,O,O
7042,a,O,O
7043,good,O,O
7044,teacher,O,O
7045,on,O,O
7046,task,O,O
7047,-,O,O
7048,specific,O,O
7049,data,O,O
7050,similar,O,O
7051,to,O,O
7052,vanilla,O,O
7053,distillation,O,O
7054,",",O,O
7055,while,O,O
7056,the,O,O
7057,second,O,O
7058,stage,O,O
7059,involves,O,O
7060,iterative,O,O
7061,update,O,O
7062,of,O,O
7063,the,O,O
7064,teacher,O,O
7065,and,O,O
7066,student,O,O
7067,models,O,O
7068,.,O,O
7069,Note,O,O
7070,that,O,O
7071,compared,O,O
7072,to,O,O
7073,online,O,B-TaskName
7074,distillation,O,I-TaskName
7075,",",O,O
7076,meta,O,B-TaskName
7077,distillation,O,I-TaskName
7078,obtains,O,O
7079,the,O,O
7080,student,O,O
7081,feedback,O,O
7082,from,O,O
7083,validation,O,O
7084,data,O,O
7085,",",O,O
7086,not,O,O
7087,training,O,O
7088,data,O,O
7089,.,O,O
7090,During,O,O
7091,the,O,O
7092,second,O,O
7093,stage,O,O
7094,",",O,O
7095,the,O,O
7096,student,O,O
7097,model,O,O
7098,is,O,O
7099,first,O,O
7100,updated,O,O
7101,through,O,O
7102,the,O,O
7103,standard,O,O
7104,distillation,O,O
7105,process,O,O
7106,by,O,O
7107,minimizing,O,O
7108,the,O,O
7109,distillation,O,O
7110,loss,O,O
7111,in,O,O
7112,eq,O,O
7113,.,O,O
7114,(,O,O
7115,1,O,O
7116,),O,O
7117,.,O,O
7118,Then,O,O
7119,the,O,O
7120,teacher,O,O
7121,model,O,O
7122,is,O,O
7123,optimized,O,O
7124,to,O,O
7125,minimize,O,O
7126,the,O,O
7127,updated,O,O
7128,student,O,O
7129,’s,O,O
7130,loss,O,O
7131,on,O,O
7132,the,O,O
7133,held,O,O
7134,-,O,O
7135,out,O,O
7136,validation,O,O
7137,set,O,O
7138,",",O,O
7139,which,O,O
7140,ensures,O,O
7141,it,O,O
7142,is,O,O
7143,able,O,O
7144,to,O,O
7145,guide,O,O
7146,the,O,O
7147,student,O,O
7148,towards,O,O
7149,better,O,O
7150,generalization,O,O
7151,.,O,O
7152,During,O,O
7153,this,O,O
7154,process,O,O
7155,",",O,O
7156,the,O,O
7157,teacher,O,O
7158,is,O,O
7159,only,O,O
7160,trained,O,O
7161,for,O,O
7162,the,O,O
7163,purpose,O,O
7164,of,O,O
7165,knowledge,O,O
7166,transfer,O,O
7167,.,O,O
7168,Formally,O,O
7169,",",O,O
7170,the,O,O
7171,student,O,O
7172,model,O,O
7173,is,O,O
7174,updated,O,O
7175,as,O,O
7176,follows,O,O
7177,:,O,O
7178,θ,O,B-HyperparameterName
7179,=,O,O
7180,θ−η∇L,O,B-HyperparameterName
7181,(,O,O
7182,θ,O,B-HyperparameterName
7183,",",O,O
7184,θ,O,B-HyperparameterName
7185,",",O,O
7186,z,O,O
